model_id,summary_path,N,ols_coef,ols_se,ols_pval,ols_r2,iv_coef,iv_se,iv_pval,iv_fstat,iv_j_pval,hausman_stat,hausman_pval,kink_threshold,kink_sup_wald,kink_pval,kink_ci_lower,kink_ci_upper,mean_pass_low,mean_pass_high,placebo_pval,linear_bic,cubic_bic,piecewise_bic,piecewise_r2,best_functional_form,sensitivity_threshold_range,fprobit_coef,fprobit_se,fprobit_pval,fprobit_marginal_at_mean,cc_loc_pearson,cc_loc_n,pass_delta_high_minus_low
anthropic_claude-opus-4.6,results\stage_d_full_bootstrap_parallel\anthropic_claude-opus-4.6\analysis_summary.json,5000,0.0011398544186627055,0.0009892881452103473,0.24924030227709892,0.00020369842290612894,0.0009123111582630405,0.00043701687362023483,0.03683502012728246,10263.825117740373,0.0,11.769584776935584,0.0006020640677359967,10.5,65.98095605692077,0.0,7.75,13.75,0.8274464831804282,0.8666946308724831,0.0,3577.7330624673737,3488.451122080759,3464.4139493874254,0.025932249832148924,piecewise,"[10.5, 10.5]",0.005010155868942517,0.004967744059663,0.31319652402859655,0.001187648289306387,0.9324501690487383,4991,0.03924814769205487
anthropic_claude-opus-4.7,results\stage_d_full_bootstrap_parallel\anthropic_claude-opus-4.7\analysis_summary.json,5000,0.000572728760017288,0.0009528407995164264,0.5477900502042634,5.521532586738598e-05,0.0005874276697755143,0.0004574518024307917,0.19909640641912896,9773.751902525226,0.0,6.334460810922977,0.011841410941499375,10.0,59.40089892060757,0.0,7.75,14.0,0.8481854838709677,0.8673809523809525,0.0,3223.0397538735974,3141.785363203474,3122.568854309743,0.023280990801935464,piecewise,"[10.0, 10.0]",0.0026584047752129802,0.005072068569722414,0.600190663934243,0.0005977716176903911,0.9309525960744661,4996,0.01919546850998477
anthropic_claude-sonnet-4.6,results\stage_d_full_bootstrap_parallel\anthropic_claude-sonnet-4.6\analysis_summary.json,5000,-6.626685292158681e-05,0.0009990390556826817,0.9471146272159918,6.933701841571605e-07,0.0005227003332565761,0.00044210533875472407,0.23708741118360344,11741.450115014435,0.0,9.112297347034751,0.002538968002340436,10.0,49.14139546875506,0.0,7.75,14.0,0.8400000000000001,0.8531746031746031,0.0,3543.2471837608423,3478.8766748126136,3462.8750838052374,0.019293443071084715,piecewise,"[10.0, 10.0]",-0.00029095321204609427,0.004978804860587445,0.953399456708241,-6.884444751971353e-05,0.8097747302292453,4982,0.013174603174603061
arcee-ai_trinity-large-preview_free,results\stage_d_full_bootstrap_parallel\arcee-ai_trinity-large-preview_free\analysis_summary.json,5000,-0.0009648892158865785,0.0009741180168534568,0.321917090761475,0.00014154806779520523,0.000627615160922107,0.0004877266564553612,0.19815793144592786,12558.388072716501,0.0,96.71800390775007,0.0,10.5,89.43896868718691,0.0,7.25,14.0,0.8260703363914373,0.8504614093959731,0.0,3731.6245895385396,3606.956271652619,3572.76817777574,0.034703255553925505,piecewise,"[10.5, 10.5]",-0.0041312203722425785,0.004915438889743626,0.40065159152151975,-0.0010144178099422026,0.9246420018244975,4995,0.0243910730045358
azure_deepseek-v3.2-speciale,results\stage_d_full_bootstrap_parallel\azure_deepseek-v3.2-speciale\analysis_summary.json,5000,-0.0002252032458987327,0.0010601444031120091,0.831773959673717,6.505372711074209e-06,-0.00018021705504991936,0.0004475451766336919,0.68718436671739,12315.362939155411,0.0,18.92469581718464,1.359809299739112e-05,10.5,137.01344039721283,0.0,7.75,13.75,0.7835626911314986,0.8226929530201343,0.0,4582.254797841774,4384.3170622500265,4332.299829239923,0.052003412475036925,piecewise,"[10.5, 10.5]",-0.0008523296591934487,0.0046836756361822345,0.855599365366772,-0.00023701862484747205,0.8936585050124108,4656,0.039130261888635776
azure_gpt-oss-120b,results\stage_d_full_bootstrap_parallel\azure_gpt-oss-120b\analysis_summary.json,5000,-0.00018188919548810603,0.0010055379887096583,0.8564559253986104,5.072881656742467e-06,0.00042359043429734955,0.0004520164384158488,0.3487004878068749,9934.029086848634,0.0,1.3771603709389229,0.24058543223071738,13.75,68.39275756275936,0.0,7.5,14.0,0.8143212607132984,0.8979754157628345,0.0,3689.8026027128594,3610.0698388628853,3571.782464292196,0.026654310576415097,piecewise,"[13.75, 13.75]",-0.0007699436470537221,0.00490759245147951,0.8753329113874507,-0.000189269937729324,0.9181660686366035,4997,0.0836541550495361
azure_grok-3,results\stage_d_full_bootstrap_parallel\azure_grok-3\analysis_summary.json,5000,0.0006425997440425428,0.001062491895424889,0.5453089880514151,5.783934907910293e-05,0.000972489483775707,0.00048112573612928215,0.04325086231746278,13720.321290143153,0.0,3.3703603194875362,0.06637923597912998,8.25,73.68092203927968,0.0,7.5,14.0,0.8357427716849452,0.8076486305945223,0.0,4141.980918804448,4050.5004455137723,4013.6686618321937,0.02870706241221277,piecewise,"[8.25, 8.25]",0.002532816538753928,0.0047763923374638416,0.5959190870232409,0.0006670753036144896,0.9205672145634737,4994,-0.028094141090422853
azure_kimi-k2.5,results\stage_d_full_bootstrap_parallel\azure_kimi-k2.5\analysis_summary.json,5000,-0.014765555167942198,0.0012149841415041859,5.538051710186027e-34,0.024241914324350078,-0.005411643332118021,0.0006292189396134349,0.0,6533.960351393993,0.0,357.9533504306583,0.0,14.25,60.1842337838497,0.0,13.75,14.25,0.77130570758405,0.7532244196044712,0.0,5174.025211609195,5157.784069174549,5072.023040745898,0.047197748376193505,piecewise,"[14.25, 14.25]",-0.051100880288848335,0.0046780832764201806,8.903274176251968e-28,-0.015414495692623192,0.9153852469510028,4732,-0.018081287979578864
azure_llama-3.3-70b,results\stage_d_full_bootstrap_parallel\azure_llama-3.3-70b\analysis_summary.json,5000,0.00022537263204542527,0.0011725178031585738,0.8475757189376284,6.0924689020414036e-06,0.0024645213887014017,0.0005805676700599605,2.1857389459034593e-05,13276.909385902234,0.0,0.37911445736282123,0.5380775451681025,14.0,83.79999079239272,0.0,7.75,14.25,0.7521739130434784,0.8617579028527371,0.0,4917.650532232969,4829.079331704655,4769.7028445121405,0.03246386632528753,piecewise,"[14.0, 14.0]",0.0007868156802480725,0.00457539820146809,0.8634637857655009,0.00023260521529234264,0.9036117800872695,4995,0.10958398980925876
azure_mistral-large-3,results\stage_d_full_bootstrap_parallel\azure_mistral-large-3\analysis_summary.json,5000,0.00026076186875717534,0.001012553478196951,0.7967704434199492,1.004205315346951e-05,0.0007530571706399203,0.00046497651424990424,0.10532691706990294,12041.018542384532,0.0,7.296762068950663,0.006907898794441536,13.75,87.77822544676977,0.0,8.25,14.0,0.8050870887475808,0.9044830079537238,0.0,3877.514202149208,3772.1411746897456,3721.868062128625,0.03395624173468226,piecewise,"[13.75, 13.75]",0.0010866179634262665,0.004869211103774857,0.8234102129387757,0.00027228034010195996,0.9224082989321164,4995,0.09939591920614299
